ts,replicas,ready
1782295415.067,1,1
1782295416.068,1,1
1782295417.068,2,1
1782295418.068,2,1
1782295419.068,2,1
1782295420.069,2,1
1782295421.069,2,1
1782295422.069,2,1
1782295423.070,2,1
1782295424.070,2,1
1782295425.070,2,1
1782295426.071,2,2
1782295427.071,2,2
1782295428.071,2,2
1782295429.071,2,2
1782295430.072,2,2
1782295431.073,2,2
1782295432.073,2,2
1782295433.073,2,2
1782295434.073,2,2
1782295435.073,2,2
1782295436.074,2,2
1782295437.074,2,2
1782295438.074,2,2
1782295439.075,2,2
1782295440.075,2,2
1782295441.075,2,2
1782295442.076,2,2
1782295443.076,2,2
1782295444.076,2,2
1782295445.077,2,2
1782295446.077,2,2
1782295447.078,2,2
1782295448.078,2,2
1782295449.078,2,2
1782295450.079,2,2
1782295451.079,2,2
1782295452.079,2,2
1782295453.080,2,2
1782295454.080,2,2
1782295455.080,2,2
1782295456.080,2,2
1782295457.081,2,2
1782295458.081,2,2
1782295459.082,2,2
1782295460.082,2,2
1782295461.083,2,2
1782295462.083,2,2
1782295463.083,2,2
1782295464.083,2,2
1782295465.084,2,2
1782295466.084,2,2
1782295467.085,2,2
1782295468.085,2,2
1782295469.086,2,2
1782295470.086,2,2
1782295471.086,2,2
1782295472.086,2,2
1782295473.087,2,2
1782295474.087,2,2
1782295475.087,2,2
1782295476.088,2,2
1782295477.089,2,2
1782295478.089,2,2
1782295479.090,2,2
1782295480.090,2,2
1782295481.091,2,2
1782295482.091,2,2
1782295483.091,2,2
1782295484.091,2,2
1782295485.092,2,2
1782295486.093,2,2
1782295487.093,2,2
1782295488.093,2,2
1782295489.093,2,2
1782295490.094,2,2
1782295491.094,2,2
1782295492.094,2,2
1782295493.095,2,2
1782295494.095,2,2
1782295495.096,2,2
1782295496.096,2,2
1782295497.096,2,2
1782295498.096,2,2
1782295499.097,2,2
1782295500.097,2,2
1782295501.097,2,2
1782295502.098,2,2
1782295503.099,2,2
1782295504.099,2,2
1782295505.099,2,2
1782295506.099,2,2
1782295507.099,2,2
1782295508.100,2,2
1782295509.100,2,2
1782295510.101,2,2
1782295511.101,2,2
1782295512.101,2,2
1782295513.101,2,2
1782295514.102,2,2
1782295515.102,2,2
1782295516.103,2,2
1782295517.103,2,2
1782295518.103,2,2
1782295519.103,2,2
1782295520.104,2,2
1782295521.105,2,2
1782295522.105,2,2
1782295523.105,2,2
1782295524.106,2,2
1782295525.106,2,2
1782295526.106,2,2
1782295527.106,2,2
1782295528.107,2,2
1782295529.107,2,2
1782295530.108,2,2
1782295531.108,2,2
1782295532.109,2,2
1782295533.109,2,2
1782295534.109,2,2
1782295535.110,2,2
1782295536.110,2,2
1782295537.111,2,2
1782295538.111,2,2
1782295539.111,2,2
1782295540.111,2,2
1782295541.112,2,2
1782295542.113,2,2
1782295543.113,2,2
1782295544.113,2,2
1782295545.114,2,2
1782295546.114,2,2
1782295547.114,2,2
1782295548.115,2,2
1782295549.115,2,2
1782295550.115,2,2
1782295551.116,2,2
1782295552.116,2,2
1782295553.116,2,2
1782295554.116,2,2
1782295555.116,2,2
1782295556.117,2,2
1782295557.117,2,2
1782295558.117,2,2
1782295559.117,2,2
1782295560.117,2,2
1782295561.117,2,2
1782295562.118,2,2
1782295563.118,2,2
1782295564.119,2,2
1782295565.119,2,2
1782295566.119,2,2
1782295567.120,2,2
1782295568.120,2,2
1782295569.120,2,2
1782295570.121,2,2
1782295571.121,2,2
1782295572.121,2,2
1782295573.121,2,2
1782295574.121,2,2
1782295575.122,2,2
1782295576.122,2,2
1782295577.123,2,2
1782295578.123,2,2
1782295579.123,2,2
1782295580.124,2,2
1782295581.124,2,2
1782295582.124,2,2
1782295583.124,2,2
1782295584.125,2,2
1782295585.125,2,2
1782295586.125,2,2
1782295587.126,2,2
1782295588.126,2,2
1782295589.126,2,2
1782295590.127,2,2
1782295591.127,2,2
1782295592.127,2,2
1782295593.127,2,2
1782295594.128,2,2
1782295595.128,2,2
1782295596.129,2,2
1782295597.129,2,2
1782295598.129,2,2
