Workload: 630 seconds, 9917 total requests, peak 44 RPS
No local images at /images; fetching from GitHub...
  fetched n02123045_tabby.JPEG (86704 bytes)
  fetched n01440764_tench.JPEG (100582 bytes)
  fetched n01514859_hen.JPEG (96736 bytes)
  fetched n02085620_Chihuahua.JPEG (146425 bytes)
  fetched n02123159_tiger_cat.JPEG (74104 bytes)
  fetched n02124075_Egyptian_cat.JPEG (58654 bytes)
  fetched n02085936_Maltese_dog.JPEG (23644 bytes)
  fetched n02086079_Pekinese.JPEG (199674 bytes)
  fetched n02086240_Shih-Tzu.JPEG (316851 bytes)
  fetched n02086646_Blenheim_spaniel.JPEG (43163 bytes)
Endpoint: http://dispatcher-service:8000/predict
Results dir: /results
Spawned all the processes. Waiting to finish...
total seconds: 630
Sent 9917 requests; 6451 reported success by barazmoon
Wrote 9910 rows to /results/results.csv
=== RESULTS_CSV_BEGIN hpa70 ===
request_id,t_start,t_end,latency_ms,status,server_latency_s
3f0a7b1d-8f58-48c2-b59c-e21703e4737d,1782296191.629565,1782296277.128567,85499.00,200,0.05722060900006909
99f2fe2b-b315-4039-86ac-2d6ff77e1c1d,1782296217.450183,1782296217.547983,97.80,200,0.07415123000009771
c007c5ab-0203-4e92-b6e1-68b84e13910d,1782296217.878557,1782296217.955922,77.36,200,0.07057275300030597
5f633316-6c46-4b7b-8847-0e5f5b22a723,1782296218.066456,1782296218.132300,65.84,200,0.060379101999387785
74eac349-02b4-4f0d-9316-a484f9caddfa,1782296218.196675,1782296218.273354,76.68,200,0.07033795999996073
32dada32-82d1-4049-b0e7-8c5693277e46,1782296218.221158,1782296218.422642,201.48,200,0.06780319700010295
10ffffcb-1332-4b47-8849-20a52c048c1d,1782296218.245113,1782296218.423019,177.91,200,0.07811421999940649
d4ce2eb4-5f3c-40ee-bf35-cd694748c3ae,1782296218.253921,1782296218.511215,257.29,200,0.08703016599974944
bb8225af-a588-4f9d-8cfe-7f6be04c258e,1782296218.470031,1782296218.585168,115.14,200,0.07202139899982285
608d47cf-1b6a-4e6c-9430-7a589eca1570,1782296218.971133,1782296219.033464,62.33,200,0.05707211200024176
2889c5eb-d330-408a-9259-750bb0717b4d,1782296219.190066,1782296219.262132,72.07,200,0.06557289499960461
2a0a20f0-05ca-4de6-b89f-3794498f231e,1782296219.342703,1782296219.419363,76.66,200,0.07040370100003202
1cd92c41-92a2-4110-8490-b755ae7266b2,1782296219.370929,1782296219.497546,126.62,200,0.07682124300026771
a8641a1a-5036-4007-b563-61e94457f449,1782296219.399936,1782296219.566213,166.28,200,0.0671498249994329
f7a60a0c-3942-4133-be74-ca612e244797,1782296219.458987,1782296219.633320,174.33,200,0.06509157499931462
6e50625c-e396-471c-9d34-42e5fe8adcc6,1782296219.887076,1782296219.952868,65.79,200,0.059867263000342064
9d9c9e5c-e709-4f50-a89d-a97b6b4a5255,1782296220.075433,1782296220.146051,70.62,200,0.06406444299955183
9d4bbf28-7cf6-47a3-bb4d-e38947855fdf,1782296220.206543,1782296220.275476,68.93,200,0.06351141300001473
5ae1db24-0e57-495c-ae53-7ff944a6301e,1782296220.229797,1782296220.338554,108.76,200,0.06026238799950079
74c5ae6c-22d0-4692-8395-3fa7f1a18d8e,1782296220.254577,1782296220.480871,226.29,200,0.07340503900013573
6163f3cb-9513-439e-b2d7-15a9e6c89807,1782296220.262518,1782296220.480611,218.09,200,0.06712915200023417
0cd13604-52b8-4daa-87c8-8d1f462ce456,1782296220.485948,1782296220.560436,74.49,200,0.05754473499928281
4908ec42-2daf-4a1d-92e8-5db0cac5421f,1782296220.987402,1782296221.063258,75.86,200,0.0692861659999835
856812f1-ed16-40e8-ac7a-5fe5b687b6f7,1782296221.207919,1782296221.269799,61.88,200,0.0554061869997895
af8bf9e2-052f-4046-9021-5460af6ca333,1782296221.358310,1782296221.432988,74.68,200,0.06760355299957155
f4ab0a7e-b0ba-40a3-9a7d-7b0a7be29074,1782296221.386595,1782296221.515483,128.89,200,0.0797962609995011
e84a50f2-6004-45c6-94d6-d5be5d4a8627,1782296221.415319,1782296221.587560,172.24,200,0.07222265799919114
a713c4b9-513e-455c-baf6-10e8e4eec9d0,1782296221.461173,1782296221.645459,184.29,200,0.05656780899971636
c0acd9e7-56bb-47fe-b3ca-96f0a2eb4eec,1782296221.890174,1782296221.988377,98.20,200,0.09168018500076869
6beed347-db15-4024-8b35-58e244a0574c,1782296222.077929,1782296222.152052,74.12,200,0.06627501200000552
5bf37c0c-ef21-4b80-99a7-ba2a0b4d6be3,1782296222.208647,1782296222.288666,80.02,200,0.07347385100001702
30d01465-6116-4faf-9ba5-70887e07ed4b,1782296222.233163,1782296222.373479,140.32,200,0.08327109799938626
5406e6f5-4add-4d1a-9135-78c7ae8c40bb,1782296222.256882,1782296222.451729,194.85,200,0.07618079999974725
c492c6f5-b759-4b73-a622-d044fd2bee91,1782296222.265742,1782296222.357361,91.62,200,0.08126872499997262
309b3eed-8c8c-4c7b-b72e-4522b213c734,1782296222.455284,1782296222.532123,76.84,200,0.06351707900012116
1718291d-a68f-4d8e-ba36-5bdf28e49e58,1782296222.830209,1782296222.918997,88.79,200,0.08011413199983508
f65aea9f-3e84-4ef7-8f31-3f760e68dca8,1782296222.994703,1782296223.080244,85.54,200,0.07710312200015323
709df52a-b059-47f6-b4f5-cab4b22b353d,1782296223.108938,1782296223.194002,85.06,200,0.07796629900076368
7f2802d9-a34c-4d8c-9ad5-0ef7cc444f1f,1782296223.130435,1782296223.220241,89.81,200,0.08022547099972144
c0a0643a-b32a-471b-9ae4-f42045364c6c,1782296223.151139,1782296223.269933,118.79,200,0.07431165899924963
a9ec47c5-8c79-4eff-bb76-1433692df9c1,1782296223.159353,1782296223.307789,148.44,200,0.08523101300033886
711eea61-68b4-40c9-bb7f-2ff345a5e40e,1782296223.410398,1782296223.488282,77.88,200,0.07072728000002826
26ca0c96-dd39-4d2f-a596-87133d22ffcb,1782296223.464805,1782296223.548515,83.71,200,0.06402888699994946
06cca0aa-5eb8-4526-98c8-381c1e0fbc4d,1782296223.893233,1782296223.981583,88.35,200,0.08060148700042191
c5889c1a-3f54-4cc7-9109-c76156ac77f7,1782296224.081319,1782296224.146971,65.65,200,0.06029689100068936
0bcd1d0c-e6e9-4617-b735-cf3f08c30a71,1782296224.212495,1782296224.286372,73.88,200,0.06690802700086351
8a9e50ed-010b-4e6e-8857-922047a612e3,1782296224.235852,1782296224.435379,199.53,200,0.0805624770000577
90b4faf2-7ffc-4f2f-8199-60fc17affec7,1782296224.260539,1782296224.435071,174.53,200,0.06350581500009866
7e84582e-fefd-48a4-89e6-49d9e2e1b22f,1782296224.269112,1782296224.341745,72.63,200,0.06329480600015813
65973f9f-4c35-428d-b7fb-25c108f6a2ca,1782296224.467229,1782296224.533539,66.31,200,0.05541655700017145
06456704-33c3-4399-8a24-757418c67f36,1782296224.896440,1782296224.961549,65.11,200,0.05971807799960516
40ab1489-8371-4108-9682-362aa4c1292f,1782296225.084096,1782296225.162539,78.44,200,0.07164393099992594
18003538-ba1f-4eb2-b016-28df69ea1f6a,1782296225.215952,1782296225.298340,82.39,200,0.07600340799945116
ff299471-e522-40b4-a6ef-ee76e0aeacbf,1782296225.239352,1782296225.325882,86.53,200,0.0781987129994377
fb3d8311-dda5-4517-b28f-40eabd0ce895,1782296225.263275,1782296225.492363,229.09,200,0.07650416100022994
3b83ced2-c87e-417a-ac6c-157020748f2e,1782296225.272008,1782296225.491853,219.84,200,0.08570697100003599
8caba76a-1179-4c25-9c8b-800f53621f67,1782296225.471901,1782296225.577628,105.73,200,0.08561992300019483
73a9fbd9-3c29-495e-b093-2dec0cde662e,1782296225.900554,1782296225.970361,69.81,200,0.06381345499994495
f1dcc13a-f23d-4327-9364-9ca08cd39f54,1782296226.087969,1782296226.152114,64.15,200,0.05861747600010858
b0d6db18-feab-4c02-a908-809277795ece,1782296226.218820,1782296226.282960,64.14,200,0.05843374500000209
7744d23e-9653-466e-963e-ec08ff8742e2,1782296226.242804,1782296226.422560,179.76,200,0.06123718199978612
cafb1b6f-2e5d-4a82-94fb-75e69d0ddfa1,1782296226.267430,1782296226.337599,70.17,200,0.06286463000014919
d96449f5-bf3b-4d3d-b9b3-c5be7791722f,1782296226.276153,1782296226.422022,145.87,200,0.074875608000184
d322e510-6a30-4e4b-a11f-62e4cad63f97,1782296226.466273,1782296226.541545,75.27,200,0.06273698499990132
9d4c3527-9f6a-4c52-a2e6-fa4b91c05548,1782296226.840374,1782296226.924685,84.31,200,0.07703165000020817
f04f5c32-acfb-4e83-8253-8f56063a8bca,1782296227.005383,1782296227.075529,70.15,200,0.06430272400029935
abdf24cb-d7f8-4bc5-a4af-d9aa752f9f24,1782296227.118895,1782296227.180879,61.98,200,0.05646433899983094
7cfec93d-1429-404d-9fbc-a4ac15149eff,1782296227.140709,1782296227.237460,96.75,200,0.055319016999419546
ea65b738-40d1-45d9-b683-eed3efe49e82,1782296227.161698,1782296227.371883,210.18,200,0.06632134599931305
f6b133c3-bfa9-4b1a-a569-4e12cf024457,1782296227.169670,1782296227.371607,201.94,200,0.06448263200036308
4e6f5a48-1caf-4fc9-bf36-94caf47433ce,1782296227.421404,1782296227.495392,73.99,200,0.06857451100040635
c983844e-8d05-400f-b1c0-217d81c74f83,1782296227.486582,1782296227.572333,85.75,200,0.06992254499982664
90ace7e5-bc0b-488a-bd7f-9285ab081e92,1782296227.988685,1782296228.049497,60.81,200,0.056134468999516685
58474800-2bc4-4f42-8de5-47baae9fd188,1782296228.206127,1782296228.274161,68.03,200,0.06149949300015578
f2a51c18-32bc-4b94-9c87-a0c39f000266,1782296228.358762,1782296228.432541,73.78,200,0.06789684199975454
556d1ab5-ffd6-4577-a83d-83abda416fe8,1782296228.386851,1782296228.472838,85.99,200,0.07758040699991398
6fef12be-3ed5-480c-9ed8-bbe6af6aae34,1782296228.416103,1782296228.533278,117.18,200,0.09894512899973051
f6d7d43d-1949-4d0a-8739-05b7ceb86da4,1782296228.463943,1782296228.567164,103.22,200,0.08477354300066509
7ae7a087-5b9f-42f9-a757-fbde1e7109d5,1782296228.797102,1782296228.857536,60.43,200,0.05445694699938031
c74ba35a-2c74-4909-89b7-a14667d9841e,1782296228.943088,1782296229.004743,61.66,200,0.05649178600015148
57ac999b-9234-4481-bd07-bee2c51fb30f,1782296229.045248,1782296229.124271,79.02,200,0.07303928800047288
