ts,replicas,ready
1782296842.070,2,1
1782296843.070,2,1
1782296844.070,2,1
1782296845.071,2,1
1782296846.071,2,1
1782296847.071,2,1
1782296848.071,2,1
1782296849.072,2,1
1782296850.072,2,2
1782296851.072,2,2
1782296852.073,2,2
1782296853.073,2,2
1782296854.073,2,2
1782296855.073,2,2
1782296856.074,2,2
1782296857.074,2,2
1782296858.075,2,2
1782296859.075,2,2
1782296860.076,2,2
1782296861.076,2,2
1782296862.076,2,2
1782296863.076,2,2
1782296864.076,2,2
1782296865.077,2,2
1782296866.077,2,2
1782296867.077,2,2
1782296868.077,2,2
1782296869.078,2,2
1782296870.078,2,2
1782296871.078,2,2
1782296872.079,2,2
1782296873.079,2,2
1782296874.079,2,2
1782296875.079,2,2
1782296876.080,2,2
1782296877.080,2,2
1782296878.080,2,2
1782296879.081,2,2
1782296880.081,2,2
1782296881.081,2,2
1782296882.082,2,2
1782296883.082,2,2
1782296884.082,2,2
1782296885.083,2,2
1782296886.083,2,2
1782296887.084,2,2
1782296888.084,2,2
1782296889.084,2,2
1782296890.084,2,2
1782296891.085,2,2
1782296892.086,2,2
1782296893.086,2,2
1782296894.086,2,2
1782296895.086,2,2
1782296896.087,2,2
1782296897.087,2,2
1782296898.088,2,2
1782296899.089,2,2
1782296900.089,2,2
1782296901.089,2,2
1782296902.090,2,2
1782296903.090,2,2
1782296904.090,2,2
1782296905.091,2,2
1782296906.091,2,2
1782296907.091,2,2
1782296908.091,2,2
1782296909.092,2,2
1782296910.093,2,2
1782296911.093,2,2
1782296912.093,2,2
1782296913.094,2,2
1782296914.094,2,2
1782296915.095,2,2
1782296916.095,2,2
1782296917.095,2,2
1782296918.095,2,2
1782296919.096,2,2
1782296920.096,2,2
1782296921.096,2,2
1782296922.097,2,2
1782296923.097,2,2
1782296924.097,2,2
1782296925.098,2,2
1782296926.098,2,2
1782296927.099,2,2
1782296928.099,2,2
1782296929.100,2,2
1782296930.100,2,2
1782296931.100,2,2
1782296932.101,2,2
1782296933.101,2,2
1782296934.102,2,2
1782296935.102,2,2
1782296936.102,2,2
1782296937.103,2,2
1782296938.103,2,2
1782296939.104,2,2
1782296940.104,2,2
1782296941.104,2,2
1782296942.104,2,2
1782296943.105,2,2
1782296944.105,2,2
1782296945.105,2,2
1782296946.106,2,2
1782296947.106,2,2
1782296948.106,2,2
1782296949.107,2,2
1782296950.107,2,2
1782296951.108,2,2
1782296952.108,2,2
1782296953.109,2,2
1782296954.109,2,2
1782296955.109,2,2
1782296956.110,2,2
1782296957.110,2,2
1782296958.110,2,2
1782296959.111,2,2
1782296960.111,2,2
1782296961.111,2,2
1782296962.112,2,2
1782296963.112,2,2
1782296964.112,2,2
1782296965.113,2,2
1782296966.113,2,2
1782296967.113,2,2
1782296968.113,2,2
1782296969.114,2,2
1782296970.114,2,2
1782296971.114,2,2
1782296972.114,2,2
1782296973.115,2,2
1782296974.115,2,2
1782296975.116,2,2
1782296976.116,2,2
1782296977.116,2,2
1782296978.117,2,2
1782296979.117,2,2
1782296980.117,2,2
1782296981.117,2,2
1782296982.118,2,2
1782296983.118,2,2
1782296984.118,2,2
1782296985.119,2,2
1782296986.119,2,2
1782296987.120,2,2
1782296988.120,2,2
1782296989.120,2,2
1782296990.121,2,2
1782296991.121,2,2
1782296992.122,2,2
1782296993.123,2,2
1782296994.123,2,2
1782296995.123,2,2
1782296996.124,2,2
1782296997.124,2,2
1782296998.124,2,2
1782296999.125,2,2
1782297000.125,2,2
1782297001.125,2,2
1782297002.126,2,2
1782297003.126,2,2
1782297004.126,2,2
1782297005.127,2,2
1782297006.127,2,2
1782297007.127,2,2
1782297008.128,2,2
1782297009.128,2,2
1782297010.128,2,2
1782297011.129,2,2
1782297012.129,2,2
1782297013.129,2,2
1782297014.130,2,2
1782297015.130,2,2
1782297016.130,2,2
1782297017.131,2,2
1782297018.131,2,2
1782297019.131,2,2
1782297020.132,2,2
1782297021.132,2,2
1782297022.133,2,2
1782297023.133,2,2
1782297024.133,2,2
1782297025.134,2,2
1782297026.134,2,2
1782297027.135,2,2
1782297028.135,2,2
1782297029.135,2,2
1782297030.135,2,2
1782297031.135,2,2
1782297032.135,2,2
1782297033.136,2,2
1782297034.136,2,2
1782297035.136,2,2
1782297036.137,2,2
1782297037.138,2,2
1782297038.139,2,2
1782297039.139,2,2
1782297040.140,2,2
1782297041.141,2,2
1782297042.141,2,2
1782297043.141,2,2
1782297044.142,2,2
1782297045.142,2,2
1782297046.142,2,2
1782297047.143,2,2
1782297048.143,2,2
1782297049.144,2,2
1782297050.144,2,2
1782297051.144,2,2
1782297052.144,2,2
1782297053.145,2,2
1782297054.145,2,2
1782297055.145,2,2
1782297056.146,2,2
1782297057.146,2,2
1782297058.146,2,2
1782297059.147,2,2
1782297060.147,2,2
1782297061.147,2,2
1782297062.147,2,2
1782297063.148,2,2
1782297064.149,2,2
1782297065.149,2,2
1782297066.149,2,2
1782297067.150,2,2
1782297068.150,2,2
1782297069.151,2,2
1782297070.151,2,2
1782297071.151,2,2
1782297072.152,2,2
1782297073.152,2,2
1782297074.152,2,2
1782297075.152,2,2
1782297076.153,2,2
1782297077.153,2,2
1782297078.154,2,2
1782297079.154,2,2
1782297080.154,2,2
1782297081.154,2,2
1782297082.155,2,2
1782297083.155,2,2
1782297084.155,2,2
1782297085.155,2,2
1782297086.156,2,2
1782297087.156,2,2
1782297088.157,2,2
1782297089.157,2,2
1782297090.157,2,2
1782297091.157,2,2
1782297092.158,2,2
1782297093.158,2,2
1782297094.159,2,2
1782297095.159,2,2
1782297096.159,2,2
1782297097.161,2,2
1782297098.161,2,2
1782297099.161,2,2
1782297100.161,2,2
1782297101.162,2,2
1782297102.163,2,2
1782297103.163,2,2
1782297104.163,2,2
1782297105.164,2,2
1782297106.164,2,2
1782297107.165,2,2
1782297108.165,2,2
1782297109.165,2,2
1782297110.165,2,2
1782297111.166,2,2
1782297112.166,2,2
1782297113.167,2,2
1782297114.167,2,2
1782297115.168,2,2
1782297116.168,2,2
1782297117.169,2,2
1782297118.169,2,2
1782297119.169,2,2
1782297120.170,2,2
1782297121.170,2,2
1782297122.170,2,2
1782297123.170,2,2
1782297124.171,2,2
1782297125.171,2,2
1782297126.172,2,2
1782297127.172,2,2
1782297128.172,2,2
1782297129.173,2,2
1782297130.173,2,2
1782297131.174,2,2
1782297132.174,2,2
1782297133.174,2,2
1782297134.175,2,2
1782297135.175,2,2
1782297136.175,2,2
1782297137.176,2,2
1782297138.176,2,2
1782297139.177,2,2
1782297140.177,2,2
1782297141.177,2,2
1782297142.178,2,2
1782297143.178,2,2
1782297144.178,2,2
1782297145.179,2,0
1782297146.179,2,0
1782297147.179,2,0
1782297148.179,2,0
1782297149.180,2,0
1782297150.180,2,0
1782297151.180,2,0
1782297152.180,2,0
1782297153.181,2,0
1782297154.181,2,0
1782297155.182,2,0
1782297156.182,2,2
1782297157.182,2,2
1782297158.183,2,2
1782297159.183,2,2
1782297160.184,2,2
1782297161.184,2,2
1782297162.184,2,2
1782297163.185,2,2
1782297164.185,2,2
1782297165.185,2,2
1782297166.186,2,2
1782297167.186,2,2
1782297168.187,2,2
1782297169.187,2,2
1782297170.188,2,2
1782297171.188,2,2
1782297172.188,2,2
1782297173.189,2,1
1782297174.189,2,0
1782297175.190,2,0
1782297176.190,2,0
1782297177.190,2,0
1782297178.190,2,0
1782297179.191,2,0
1782297180.191,2,0
1782297181.191,2,0
1782297182.192,2,0
1782297183.192,2,0
1782297184.192,2,0
1782297185.192,2,1
1782297186.193,2,1
1782297187.193,2,1
1782297188.193,2,1
1782297189.193,2,0
1782297190.193,2,0
1782297191.194,2,0
1782297192.195,2,0
1782297193.195,2,0
1782297194.195,2,0
1782297195.195,2,1
1782297196.196,2,1
1782297197.196,2,1
1782297198.196,2,1
1782297199.196,2,2
1782297200.196,2,2
1782297201.197,2,2
1782297202.197,2,2
1782297203.197,2,2
1782297204.198,2,2
1782297205.198,2,2
1782297206.198,2,2
1782297207.199,2,2
1782297208.199,2,2
1782297209.199,2,2
1782297210.199,2,2
1782297211.200,2,2
1782297212.200,2,2
1782297213.200,2,1
1782297214.201,2,1
1782297215.201,2,1
1782297216.201,2,1
1782297217.202,2,1
1782297218.202,2,1
1782297219.202,2,1
1782297220.203,2,1
1782297221.203,2,1
1782297222.203,2,0
1782297223.203,2,0
1782297224.204,2,0
1782297225.204,2,0
1782297226.205,2,0
1782297227.205,2,0
1782297228.205,2,0
1782297229.205,2,0
1782297230.206,2,0
1782297231.206,2,0
1782297232.207,2,0
1782297233.207,2,0
1782297234.208,2,0
1782297235.208,2,0
1782297236.209,2,0
1782297237.209,2,0
1782297238.209,2,0
1782297239.209,2,0
1782297240.210,2,1
1782297241.210,2,1
1782297242.210,2,1
1782297243.211,2,1
1782297244.211,2,2
1782297245.211,2,2
1782297246.212,2,2
1782297247.212,2,2
1782297248.212,2,2
1782297249.212,2,2
1782297250.213,2,2
1782297251.213,2,2
1782297252.213,2,2
1782297253.214,2,2
1782297254.214,2,2
1782297255.214,2,1
1782297256.215,2,1
1782297257.216,2,0
1782297258.216,2,0
1782297259.216,2,0
1782297260.217,2,0
1782297261.217,2,0
1782297262.217,2,1
1782297263.218,2,1
1782297264.218,2,2
1782297265.219,2,2
1782297266.219,2,2
1782297267.219,2,2
1782297268.220,2,2
1782297269.220,2,2
1782297270.221,2,2
1782297271.221,2,2
1782297272.221,2,2
1782297273.222,2,2
1782297274.222,2,2
1782297275.222,2,2
1782297276.223,2,2
1782297277.223,2,2
1782297278.224,2,2
1782297279.224,2,1
1782297280.225,2,1
1782297281.225,2,0
1782297282.225,2,0
1782297283.225,2,0
1782297284.226,2,0
1782297285.226,2,0
1782297286.226,2,0
1782297287.227,2,0
1782297288.227,2,0
1782297289.227,2,0
1782297290.228,2,0
1782297291.228,2,0
1782297292.228,2,0
1782297293.229,2,0
1782297294.229,2,0
1782297295.229,2,0
1782297296.230,2,0
1782297297.230,2,1
1782297298.230,2,1
1782297299.231,2,1
1782297300.231,2,2
1782297301.231,2,2
1782297302.232,2,2
1782297303.232,2,2
1782297304.232,2,2
1782297305.233,2,2
1782297306.233,2,2
1782297307.233,2,2
1782297308.234,2,2
1782297309.234,2,2
1782297310.234,2,2
1782297311.235,2,2
1782297312.235,2,2
1782297313.235,2,1
1782297314.236,2,1
1782297315.236,2,1
1782297316.236,2,0
1782297317.237,2,0
1782297318.237,2,0
1782297319.237,2,0
1782297320.238,2,0
1782297321.238,2,0
1782297322.238,2,0
1782297323.239,2,0
1782297324.239,2,0
1782297325.239,2,1
1782297326.239,2,1
1782297327.240,2,1
1782297328.240,2,1
1782297329.240,2,1
1782297330.241,2,1
1782297331.241,2,1
1782297332.242,2,1
1782297333.242,2,1
1782297334.242,2,2
1782297335.242,2,2
1782297336.243,2,2
1782297337.243,2,2
1782297338.243,2,2
1782297339.243,2,2
1782297340.244,2,2
1782297341.244,2,1
1782297342.244,2,1
1782297343.245,2,1
1782297344.245,2,1
1782297345.246,2,1
1782297346.246,2,1
1782297347.246,2,1
1782297348.247,2,1
1782297349.247,2,1
1782297350.248,2,1
1782297351.248,2,1
1782297352.249,2,1
1782297353.250,2,1
1782297354.250,2,1
1782297355.250,2,1
1782297356.251,2,1
1782297357.251,2,2
1782297358.251,2,2
1782297359.252,2,2
1782297360.252,2,2
1782297361.252,2,2
1782297362.253,2,1
1782297363.253,2,1
1782297364.253,2,1
